Time,OWD
76.182009,132.445
76.188362,137.591
76.188362,136.384
76.188363,135.178
76.188363,133.97
76.188364,132.765
76.18841,131.602
76.188466,129.849
76.188467,128.642
76.188467,127.434
76.188468,126.228
76.188468,125.022
76.194494,129.84
76.194495,128.633
76.194496,127.428
76.194758,126.483
76.194758,125.275
76.201217,130.527
76.201217,129.321
76.201218,128.113
76.201218,126.907
76.201219,125.7
76.201219,124.493
76.208583,130.65
76.208584,129.444
76.208584,128.236
76.208585,127.03
76.208627,125.865
76.214579,130.61
76.21458,128.8
76.21458,127.593
76.214581,126.386
76.214623,125.222
76.221297,130.688
76.221298,129.483
76.221298,128.275
76.221299,127.069
76.221299,125.861
76.221299,124.654
76.234612,136.76
76.234613,135.554
76.234613,134.347
76.234614,133.14
76.234614,131.934
76.234615,130.727
76.234615,129.519
76.234615,128.312
76.234667,127.157
76.234667,125.95
76.241421,131.497
76.24792,136.789
76.25457,141.628
76.254571,140.421
76.254571,139.215
76.254571,138.008
76.254572,136.801
76.254572,135.594
76.254573,134.388
76.254573,133.181
76.254627,132.027
76.254627,130.82
76.254628,129.607
76.261181,134.96
76.261182,133.754
76.261182,132.545
76.261183,131.34
76.261183,130.134
76.261183,128.926
76.261306,127.841
76.261306,126.635
76.261307,125.429
76.261307,124.221
76.267718,129.425
76.267719,127.615
76.267719,126.407
76.267719,125.201
76.267882,124.157
76.27511,130.177
76.275111,128.971
76.275111,127.764
76.275111,126.556
76.275112,125.35
76.281459,130.49
76.281571,129.396
76.281571,128.188
76.281572,126.982
76.281572,125.775
76.294762,137.757
76.294763,136.551
76.294764,135.345
76.294764,134.138
76.294765,132.931
76.294765,131.725
76.294765,130.517
76.294766,129.31
76.294818,127.552
76.294819,126.345
76.301169,131.488
76.307719,136.832
76.314472,142.378
76.314473,141.171
76.314474,139.965
76.314474,138.758
76.314475,137.552
76.314475,136.344
76.314566,135.228
76.314567,134.022
76.314567,132.815
76.314567,131.608
76.314654,130.488
76.322052,136.678
76.322053,135.472
76.322054,134.266
76.322054,133.058
76.322054,131.851
76.322055,130.645
76.322102,129.485
76.322102,127.674
76.322103,126.468
76.322125,125.282
76.327872,129.823
76.327873,128.617
76.327873,127.409
76.327874,126.202
76.327874,124.996
76.341778,137.693
76.341779,136.486
76.341779,135.279
76.34178,134.073
76.34178,132.865
76.341781,131.66
76.341781,130.453
76.341782,129.247
76.341833,128.09
76.341833,126.882
76.348157,132
76.354598,137.234
76.354599,136.027
76.3546,134.821
76.3546,133.01
76.354601,131.799
76.354601,130.597
76.354601,129.39
76.354602,128.184
76.354652,127.026
76.354652,125.819
76.361368,131.328
76.368373,137.126
76.368373,135.918
76.368374,134.712
76.368374,133.505
76.368375,132.299
76.368375,131.092
76.368375,129.884
76.368376,128.678
76.368427,127.521
76.368427,126.314
76.368427,125.108
76.375607,131.081
76.381811,136.077
76.381812,134.871
76.381812,133.059
76.381813,131.854
76.381813,130.647
76.381814,129.441
76.381814,128.234
76.381814,127.027
76.381864,125.869
76.388639,131.436
76.38864,130.231
76.38864,129.023
76.388641,127.817
76.388641,126.61
76.388641,125.403
76.395118,130.673
76.395119,129.466
76.395119,128.259
76.395119,127.051
76.39512,125.846
76.395159,124.678
76.401509,129.82
76.40151,128.614
76.40151,127.407
76.401511,125.597
76.401643,124.521
76.414807,136.479
76.414808,135.273
76.414809,134.066
76.414809,132.858
76.41481,131.65
76.41481,130.446
76.41481,129.239
76.414811,128.032
76.414862,126.876
76.422233,133.04
76.422234,131.834
76.428552,136.945
76.428553,135.738
76.428553,134.531
76.428554,133.325
76.428554,132.118
76.428555,130.911
76.428555,129.704
76.428555,128.498
76.428606,127.341
76.428607,125.531
76.441911,137.628
76.448356,142.865
76.448357,141.66
76.448358,140.453
76.448358,139.246
76.448359,138.04
76.448359,136.832
76.448359,135.624
76.44836,134.419
76.448415,133.268
76.448415,132.061
76.448416,130.853
76.454537,135.768
76.454537,134.56
76.454538,133.348
76.454538,132.147
76.454539,130.941
76.454539,129.734
76.45454,128.527
76.45454,127.321
76.454592,126.165
76.454592,124.354
76.461259,129.814
76.46126,128.608
76.46126,127.4
76.461261,126.195
76.461303,125.029
76.47509,137.608
76.475091,136.403
76.475127,135.232
76.475153,134.05
76.475154,132.843
76.475154,131.637
76.475155,130.43
76.475155,129.224
76.475176,128.038
76.475229,126.883
76.482072,132.519
76.482073,131.312
76.488457,136.489
76.488458,135.283
76.488458,134.076
76.488459,132.87
76.488459,131.059
76.488459,129.852
76.48846,128.646
76.48846,127.438
76.488515,126.286
76.488516,125.08
76.501782,137.139
76.507921,142.07
76.507922,140.865
76.507923,139.658
76.507923,138.451
76.507923,137.244
76.507924,136.038
76.507924,134.83
76.507925,133.624
76.507978,132.471
76.507979,131.264
76.507979,130.057
76.514347,135.217
76.514348,134.012
76.514348,132.804
76.514348,131.596
76.514349,129.787
76.514349,128.58
76.51435,127.374
76.51435,126.166
76.514402,125.011
76.521327,130.729
76.521328,129.523
76.521328,128.315
76.521329,127.11
76.521329,125.903
76.52133,124.695
76.535564,137.723
76.535565,136.517
76.535566,135.311
76.535566,134.103
76.535567,132.897
76.535567,131.69
76.535567,130.483
76.535686,129.395
76.535687,128.188
76.535687,126.982
76.542436,132.523
76.54848,136.757
76.548481,135.549
76.548481,134.343
76.548482,133.137
76.548482,131.93
76.548482,130.722
76.548483,129.511
76.548483,128.309
76.548536,127.155
76.548536,125.948
76.548537,124.741
76.562207,137.204
76.567884,141.674
76.567885,140.468
76.567896,139.271
76.567897,138.065
76.567897,136.859
76.567898,135.652
76.567898,134.445
76.567899,133.239
76.56795,132.082
76.56795,130.876
76.567951,129.066
76.574496,134.403
76.574497,133.197
76.574497,131.989
76.574497,130.782
76.574498,129.576
76.574498,128.369
76.574499,127.163
76.574499,125.956
76.574551,124.8
76.581538,130.581
76.581538,129.373
76.581539,128.167
76.581539,126.96
76.58154,125.754
76.58154,124.546
76.595498,137.297
76.595499,136.091
76.595499,134.883
76.5955,133.677
76.5955,132.471
76.5955,131.263
76.595501,129.453
76.595501,128.246
76.595553,127.091
76.595553,125.883
76.608887,138.01
76.621863,149.779
76.62196,148.669
76.62196,147.462
76.621961,146.255
76.621961,145.049
76.621961,143.841
76.621962,142.635
76.621962,141.428
76.621963,140.222
76.621998,139.05
76.621998,137.842
76.621999,136.636
76.621999,135.429
76.621999,134.222
76.622142,133.156
76.622143,131.951
76.622143,130.745
76.622143,128.933
76.622144,127.727
76.622165,126.541
76.622216,125.385
76.627816,129.778
76.627817,128.571
76.627817,127.364
76.627818,126.157
76.627818,124.951
76.634827,130.752
76.634828,129.545
76.634829,128.335
76.634829,127.133
76.63483,125.927
76.634949,124.838
76.641315,129.997
76.641316,128.791
76.641316,127.584
76.641316,126.376
76.641317,125.17
76.655674,138.316
76.655675,137.114
76.655676,135.304
76.655676,134.097
76.655677,132.891
76.655677,131.683
76.655677,130.476
76.655678,129.271
76.655739,128.125
76.655739,126.917
76.662269,132.239
76.668759,137.522
76.66876,136.316
76.681956,148.304
76.682185,147.327
76.682186,146.121
76.682186,144.914
76.682187,143.707
76.688518,148.831
76.688519,147.625
76.68852,146.418
76.68852,145.212
76.688521,144.003
76.688521,142.798
76.688521,140.987
76.688522,139.781
76.688578,138.629
76.688579,137.424
76.688579,136.217
76.68858,135.01
76.68858,133.803
76.68858,132.596
76.688581,131.389
76.695223,136.825
76.695224,135.618
76.695224,134.41
76.695225,133.205
76.695225,131.998
76.695226,130.791
76.695226,129.584
76.695226,128.375
76.695277,127.221
76.695278,126.014
76.695278,124.807
76.701944,130.266
76.701945,129.059
76.701945,127.249
76.701945,126.042
76.714657,137.547
76.714658,136.341
76.714658,135.134
76.714658,133.926
76.714659,132.72
76.714659,131.513
76.71466,130.307
76.71466,129.099
76.714711,127.943
76.714712,126.737
76.722173,132.99
76.722174,131.785
76.728618,137.021
76.728619,135.756
76.728619,134.484
76.72862,133.278
76.72862,131.942
76.728621,130.735
76.728621,129.463
76.728621,128.211
76.728673,126.393
76.728674,125.096
76.742405,137.618
76.748174,142.181
76.748175,140.976
76.748175,139.769
76.748176,138.561
76.748176,137.355
76.748177,136.149
76.748177,134.941
76.748177,133.734
76.754387,138.731
76.754388,137.531
76.754388,136.324
76.754389,135.118
76.754389,133.911
76.754389,132.703
76.75439,131.496
76.75439,130.29
76.754442,129.135
76.754442,127.927
76.754443,126.721
76.754568,125.035
76.761513,130.773
76.761514,129.567
76.761514,128.359
76.761515,127.154
76.761515,125.946
76.761558,124.782
76.774582,136.599
76.774583,135.393
76.774584,134.186
76.774584,132.979
76.774584,131.772
76.774585,130.566
76.774585,129.358
76.774586,128.153
76.774638,126.997
76.774639,125.79
76.782014,131.959
76.788735,137.473
76.788736,136.266
76.788737,135.06
76.788737,133.852
76.788738,130.836
76.788738,129.629
76.788739,128.423
76.788793,127.269
76.788793,126.062
76.794901,130.964
76.794902,129.756
76.794902,128.55
76.794902,127.342
76.795162,126.395
76.795162,125.188
76.801434,130.253
76.801435,129.047
76.801435,127.839
76.801436,126.633
76.801436,125.426
76.808076,130.859
76.808077,129.653
76.808077,128.445
76.808078,127.239
76.808078,126.032
76.821455,137.598
76.821456,136.391
76.821456,135.185
76.821457,133.979
76.821457,132.772
76.821458,131.565
76.821458,130.358
76.821458,129.151
76.821509,127.943
76.821509,126.735
76.827944,131.964
76.834677,137.489
76.834678,136.283
76.834679,135.077
76.834679,133.87
76.83468,132.663
76.83468,131.457
76.83468,130.249
76.834681,129.042
76.83473,127.885
76.84161,133.558
76.841611,132.351
76.847913,136.842
76.854433,142.155
76.854434,140.949
76.854495,139.803
76.854496,138.597
76.854496,137.389
76.854496,136.182
76.854497,134.976
76.854635,133.906
76.854636,132.7
76.854636,131.493
76.854637,130.287
76.861277,135.72
76.861278,134.514
76.861278,133.307
76.861279,132.1
76.861279,130.893
76.861279,129.686
76.86128,128.479
76.86128,127.273
76.861331,126.116
76.868072,131.649
76.868073,129.838
76.868073,128.633
76.868073,127.425
76.868074,126.22
76.868074,125.013
